Авто;Марка;Модель;Номер;Год;Цвет;Кузов;Двигатель;Мощность;Топливо;Бак;Расход;Категория;Мест;Дверей;Кондиционер;Салон;Крыша;Стеклоподъемники;Подушки;Сторона руля;Круиз;Камера ЗВ;Парктроник;Радио;CD;MP3;USB;AUX;Bluetooth;Дата ТО;Сутки;Залог;Мин возраст;Мин стаж;Страховка;Договор Страх;Кутаиси;Тбилиси;Батуми;ЦРМ;РУ сайт;АНГ сайт;VIN;Партнер;Свидетельство;Коробка;Привод
Mini Cooper One IP595II;Mini;Cooper One;IP595II;2012;Бежевый;hatchback;1,6;122;Benzin;45;5,2;b;4;2;Кондиционер;Ткань;Обычная;2;2;left_wheel;Есть;Нет;Есть;Есть;Есть;Нет;Есть;Есть;Нет;02.03.2026;9;200;21;2;28; AUT 0000-52170;https://partner.localrent.com/cars/59920/edit/;https://partner.localrent.com/cars/59924/edit/;https://partner.localrent.com/cars/62546/edit/;https://web.rentprog.ru/cars/45440;https://geodrive.info/geotbilisi/tproduct/461998097491;https://en.geodrive.info/geotbilisi/tproduct/958901418421;WMWSR11080T412813;;AJA3483262;Механика;Передний;
Kia Sportage RL738RL;Kia;Sportage;RL738RL;2016;Красный;crossover;2,4;182;Benzin;62;7,9;b;5;4;Кондиционер;Ткань;Обычная;4;2;left_wheel;Есть;Есть;Есть;Есть;Нет;Нет;Есть;Есть;Есть;26.03.2026;13;100;21;1;61,9;AUT 0000-51328;https://partner.localrent.com/cars/59473/edit/;https://partner.localrent.com/cars/59250/edit/;https://partner.localrent.com/cars/59472/edit/;https://web.rentprog.ru/cars/44225;https://geodrive.info/geotbilisi/tproduct/631678364501;https://en.geodrive.info/geotbilisi/tproduct/168290127711;KNDPMCAC4H7055938;Никишова Мария;AJA3358365;Автомат;Полный;
Jeep Renegade FF633FM;Jeep;Renegade;FF633FM;2016;Серый;crossover;2,4;186;Benzin;55;8,9;b;5;4;Кондиционер;Ткань;Обычная;4;4;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;15.12.2025;15;100;21;1;55; AUT 0000-52174;https://partner.localrent.com/cars/60558/edit/;https://partner.localrent.com/cars/60554/edit/;https://partner.localrent.com/cars/60526/edit/;https://web.rentprog.ru/cars/45994;https://geodrive.info/geotbilisi/tproduct/855107967292;https://en.geodrive.info/geotbilisi/tproduct/839127293832;ZACCJBCBXHPE99379;Алексей Дидонов;BVA0702107;Автомат;Полный;
Hyundai Veloster QI838QQ;Hyundai;Veloster;QI838QQ;2013;Черный;hatchback;1,6;134;Benzin;50;6,9;b;4;4;Кондиционер;Ткань;Люк;2;2;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;25.11.2025;10;100;21;2;35;AUT 0000-52171;https://partner.localrent.com/cars/62539/edit/;https://partner.localrent.com/cars/60718/edit/;https://partner.localrent.com/cars/61880/edit/;https://web.rentprog.ru/cars/46133;https://geodrive.info/geotbilisi/tproduct/996557504892;https://en.geodrive.info/geotbilisi/tproduct/497958640842;KMHTC6AD4DU158666;Алексей Дидонов;AJA3571911;Автомат;Передний;
Mini Cooper Countryman FY399FY;Mini;Cooper Countryman;FY399FY;2017;Синий;hatchback;1,5;166;Benzin;55;6,9;b;5;4;Кондиционер;Кожа;Люк;4;4;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;01.06.2026;19;100;21;2;75,6;AUT 0000-52963;https://partner.localrent.com/cars/60908/edit/;https://partner.localrent.com/cars/60821/edit/;https://partner.localrent.com/cars/60902/edit/;https://web.rentprog.ru/cars/46224;https://geodrive.info/geotbilisi/tproduct/538324860562;https://en.geodrive.info/geotbilisi/tproduct/304940049772;WMZYV5C38J3E02858;;AJA5599369;Автомат;Полный;
Mini Cooper CV403CV;Mini;Cooper;CV403CV;2015;Красный;hatchback;1,5;136;Benzin;54;6,7;b;4;2;Кондиционер;Кожа;Обычная;2;2;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;17.06.2026;12;100;21;2;34,4;AUT 0000-52965;https://partner.localrent.com/cars/66453/edit/;https://partner.localrent.com/cars/61030/edit/;https://partner.localrent.com/cars/62478/edit/;https://web.rentprog.ru/cars/46402;https://geodrive.info/geotbilisi/tproduct/609042378612;https://en.geodrive.info/geotbilisi/tproduct/441699498602;WNWXM5C58F3A59005;;AJA3594850;Автомат;Передний;
Chevrolet Malibu TH235TH;Chevrolet;Malibu;TH235TH;2017;Серый;sedan;1,5;160;Benzin;55;6,9;b;5;4;Кондиционер;Ткань;Обычная;4;2;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;03.09.2026;13;100;22;2;41,25;AUT 0000-52968;https://partner.localrent.com/cars/62528/edit/;https://partner.localrent.com/cars/61738/edit/;https://partner.localrent.com/cars/62529/edit/;https://web.rentprog.ru/cars/47192;https://geodrive.info/geotbilisi/tproduct/510067133012;https://en.geodrive.info/geotbilisi/tproduct/937590992172;1G1ZB5STXHF279609;Алексей Дидонов;AJA3667721;Автомат;Передний;
Hyundai Veloster MM972LM;Hyundai;Veloster;MM972LM;2014;Оранжевый;hatchback;1,6;136;Benzin;50;6,9;b;5;4;Кондиционер;Ткань;Обычная;2;2;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;13.02.2026;10;100;21;2;31;AUT 0000-52966;https://partner.localrent.com/cars/62542/edit/;https://partner.localrent.com/cars/61859/edit/;https://partner.localrent.com/cars/64434/edit/;https://web.rentprog.ru/cars/47393;https://geodrive.info/geotbilisi/tproduct/898421199992;https://en.geodrive.info/geotbilisi/tproduct/457983259182;KMHTC6AD8FU232030;Михаил Повх;AJA3692796;Автомат;Передний;
Honda Odyssey CR106CR;Honda;Odyssey;CR106CR;2016;Синий;minivan;3,5;248;Benzin;74;7,9;b;8;4;Климат 2-зонный;Кожа;Обычная;4;2;left_wheel;Есть;Есть;Есть;Есть;Есть;Есть;Есть;Есть;Есть;08.09.2026;18;100;21;1;61,2;AUT 0000-52969;https://partner.localrent.com/cars/62530/edit/;https://partner.localrent.com/cars/62165/edit/;https://partner.localrent.com/cars/62524/edit/;https://web.rentprog.ru/cars/47451;https://geodrive.info/geotbilisi/tproduct/787867848632;https://en.geodrive.info/geotbilisi/tproduct/778532648792;5FNRL5H48GB506352;Kuboyan Karen;AJA1100905;Вариатор;Передний;
Mazda CX-9 DW705DW;Mazda;CX-9;DW705DW;2019;Черный;crossover;2,5;231;Benzin;74;9,9;b;7;4;Климат 2-зонный;Кожа;Люк;4;4;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;19.08.2026;20;200;21;0;103;AUT 0000-57483;https://partner.localrent.com/cars/62316/edit/;https://partner.localrent.com/cars/62105/edit/;https://partner.localrent.com/cars/62540/edit/;https://web.rentprog.ru/cars/47493;https://geodrive.info/geotbilisi/tproduct/803036937792;https://en.geodrive.info/geotbilisi/tproduct/433595024212;JM3TCACY1L0400253;;AJA5055565;Автомат;Полный;
Chevrolet Cruze KD474DK;Chevrolet;Cruze;KD474DK;2018;Серый;sedan;1,4;153;Benzin;52;6,9;b;5;4;Кондиционер;Ткань;Обычная;4;2;left_wheel;Есть;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;21.01.2027;10;100;21;2;34,4;AUT 0000-52169;https://partner.localrent.com/cars/60555/edit/;https://partner.localrent.com/cars/60267/edit/;https://partner.localrent.com/cars/62526/edit/;https://web.rentprog.ru/cars/45676;https://geodrive.info/geotbilisi/tproduct/191336570551;https://en.geodrive.info/geotbilisi/tproduct/ 485213621571;1G1BC5SM8J7175370;Алексей Дидонов;AJA3500891;Автомат;Передний;
Ford Fiesta SE CT021CT;Ford;Fiesta SE;CT021CT;2017;Серебряный;hatchback;1,6;126;Benzin;40;5,9;b;5;4;Кондиционер;Ткань;Обычная;4;4;left_wheel;Нет;Нет;Нет;Есть;Нет;Есть;Есть;Есть;Нет;28.08.2027;8;100;21;1;28;AUT 0000-52168;https://partner.localrent.com/cars/62518/edit/;https://partner.localrent.com/cars/60070/edit/;https://partner.localrent.com/cars/62534/edit/;https://web.rentprog.ru/cars/45373;https://geodrive.info/geotbilisi/tproduct/589233080662;https://en.geodrive.info/geotbilisi/tproduct/758418124202;3FADP4EJ5HM161562;;AJA3462219;Автомат;Передний;
Mini Cooper NN085YN;Mini;Cooper;NN085YN;2015;Синий;hatchback;1,6;145;Benzin;50;7;b;5;4;Кондиционер;Кожа;Люк;4;4;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;26.12.2025;14;100;21;2;42;AUT 0000-52172;https://partner.localrent.com/cars/60561/edit/;https://partner.localrent.com/cars/60557/edit/;https://partner.localrent.com/cars/60238/edit/;https://web.rentprog.ru/cars/45533;https://geodrive.info/geotbilisi/tproduct/431766257071;https://en.geodrive.info/geotbilisi/tproduct/592737823381;WMWXS5C58FT831943;;AJA3499443;Автомат;Передний;
Mercedes ML 350 SU656UU;Mercedes;ML 350;SU656UU;2011;Белый;crossover;3,5;272;Benzin;95;11;b;5;4;Кондиционер;Кожа;Обычная;4;4;left_wheel;Есть;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;23.06.2026;12;100;21;1;55;AUT 0000-52173;https://partner.localrent.com/cars/60560/edit/;https://partner.localrent.com/cars/60273/edit/;https://partner.localrent.com/cars/73144/edit/;https://web.rentprog.ru/cars/45633;https://geodrive.info/geotbilisi/tproduct/162675603741;https://en.geodrive.info/geotbilisi/tproduct/ 851621015651;4JGBB5GBXBA689285;Pekker Grigorii;AJA3462090;Автомат;Задний;
BMW X1 GG663YG;BMW;X1;GG663YG;2018;Серый;crossover;2;231;Benzin;61;9;b;5;4;Кондиционер;Кожа;Обычная;4;8;left_wheel;Нет;Есть;Нет;Есть;Нет;Есть;Есть;Есть;Есть;07.12.2025;17;100;21;1;75,6;AUT 0000-52971;https://partner.localrent.com/cars/62516/edit/;https://partner.localrent.com/cars/62473/edit/;https://partner.localrent.com/cars/62523/edit/;https://web.rentprog.ru/cars/47778;https://geodrive.info/geotbilisi/tproduct/430339623182;https://en.geodrive.info/geotbilisi/tproduct/705934109722;WBXHU7C34J5L08737;;AJA3278852;Автомат;Передний;
Chevrolet Cruze BZ551ZB/;Chevrolet;Cruze;BZ551ZB/;2018;Белый;hatchback;1,4;155;Benzin;50;5;b;5;4;Кондиционер;Ткань;Обычная;4;2;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;04.09.2027;11;100;22;2;35;AUT 0000-52166;https://partner.localrent.com/cars/61091/edit/;https://partner.localrent.com/cars/61031/edit/;https://partner.localrent.com/cars/62527/edit/;https://web.rentprog.ru/cars/46225;https://geodrive.info/geotbilisi/tproduct/337666489532;https://en.geodrive.info/geotbilisi/tproduct/762546884912;3G1BE6SM0JS635445;Алексей Дидонов;AJA3582919;Автомат;Передний;
Mercedes E 350 UQ089QQ;Mercedes;E 350;UQ089QQ;2014;Красный;sedan;3;333;Benzin;59;8;b;5;4;Кондиционер;Кожа;Люк;4;4;left_wheel;Есть;Нет;Есть;Есть;Нет;Есть;Есть;Есть;Есть;22.02.2026;20;100;21;2;55;AUT 0000-52165;https://partner.localrent.com/cars/59721/edit/;https://partner.localrent.com/cars/59718/edit/;https://partner.localrent.com/cars/59719/edit/;https://web.rentprog.ru/cars/45056;https://geodrive.info/geotbilisi/tproduct/276102794631;https://en.geodrive.info/geotbilisi/tproduct/730081741891;WDDHF5KB7EA965247;Павел Чупахов;AQA0505309;Автомат;Передний;
Volkswagen Tiguan GT183GG;Volkswagen;Tiguan;GT183GG;2019;Красный;crossover;2;180;Benzin;60;7,9;b;5;4;Кондиционер;Ткань;Обычная;4;4;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;04.06.2027;17;100;21;1;68,76;AUT 0000-54114;Нет;https://partner.localrent.com/cars/62969/edit/;https://partner.localrent.com/cars/65024/edit/;https://web.rentprog.ru/cars/48581;https://geodrive.info/geotbilisi/tproduct/347091054212;https://en.geodrive.info/geotbilisi/tproduct/410064089762;3VV0B7AX8KM121021;Никишова Мария;AJA3892709;Автомат;Полный;
Dodge Challenger DD319RD;Dodge;Challenger;DD319RD;2017;Черный;coupe;3,6;306;Benzin;75;10;b;4;2;Климат 2-зонный;Кожа-спорт;Люк;2;2;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Есть;Есть;12.07.2027;35;200;21;2;82,51;AUT 0000-54116;Нет;https://partner.localrent.com/cars/64285/edit/;https://partner.localrent.com/cars/93113/edit/;https://web.rentprog.ru/cars/49493;https://geodrive.info/geotbilisi/tproduct/331408237342;https://en.geodrive.info/geotbilisi/tproduct/276318854532;2C3CDZGG7HH551028;Лобов Алексей;AQ1782712;Автомат;Полный;
Mini Cooper S Countryman HH972LH;Mini;Cooper S Countryman;HH972LH;2012;Синий;crossover;1,6;184;Benzin;47;7,5;b;4;4;Климат 1-зонный;Кожа;Обычная;4;4;left_wheel;Есть;Нет;Есть;Есть;Нет;Есть;Есть;Есть;Есть;02.03.2026;12;100;21;2;34,5;AUT 0000-54975;Нет;https://partner.localrent.com/cars/66866/edit/;https://partner.localrent.com/cars/69942/edit/;https://web.rentprog.ru/cars/49691;https://geodrive.info/geotbilisi/tproduct/497104666612;https://en.geodrive.info/geotbilisi/tproduct/311920853352;WMWZC5C59CWL60028;Дидонов 2;AJA4040252;Автомат;Полный;
Kia Carnival QL145QQ;Kia;Carnival;QL145QQ;2015;Черный;minivan;2,2;202;Dizel;74;6;b;8;4;Кондиционер;Ткань;Обычная;4;6;left_wheel;Есть;Есть;Есть;Есть;Нет;Нет;Есть;Есть;Есть;15.11.2025;5;100;18;2;68,75;AUT 0000-55346;Нет;https://partner.localrent.com/cars/66443/edit/;https://partner.localrent.com/cars/92400/edit/;https://web.rentprog.ru/cars/51011;https://geodrive.info/geotbilisi/tproduct/835604861262;https://en.geodrive.info/geotbilisi/tproduct/902062315892;KNHMF37ABfs063560;;AJA4247635;Автомат;Передний;
Volkswagen Tiguan FF468BF;Volkswagen;Tiguan;FF468BF;2013;Серый;crossover;2;180;Benzin;64;8;b;5;4;Климат 2-зонный;Ткань;Обычная;4;6;left_wheel;Есть;Есть;Есть;Есть;Есть;Есть;Есть;Есть;Нет;24.06.2026;12;100;21;2;38;AUT 0000-55062;https://partner.localrent.com/cars/78743/edit/;https://partner.localrent.com/cars/65416/edit/;https://partner.localrent.com/cars/68380/edit/;https://web.rentprog.ru/cars/50169;https://geodrive.info/geotbilisi/tproduct/714289898362;https://en.geodrive.info/geotbilisi/tproduct/560830113992;WVGZZZ5NZDW570747;Дидонов 2;AJA4103180;Автомат;Полный;
Chevrolet Cruze DW457WD;Chevrolet;Cruze;DW457WD;2016;Красный;sedan;1,4;153;Benzin;51;7;b;5;4;Кондиционер;Ткань;Обычная;4;4;left_wheel;Нет;Есть;Нет;Есть;Нет;Есть;Есть;Есть;Есть;12.09.2026;10;100;22;2;37,5;AUT 0000-55805;https://partner.localrent.com/cars/78742/edit/;https://partner.localrent.com/cars/89751/edit/;https://partner.localrent.com/cars/66977/edit/;https://web.rentprog.ru/cars/51482;https://geodrive.info/geotbilisi/tproduct/352195515422;https://en.geodrive.info/geotbilisi/tproduct/289640057222;1G1BC5SM8G7283884;Никишова Мария;BVA0854220;Автомат;Передний;
Mini Cooper SS966SJ/;Mini;Cooper;SS966SJ/;2016;Зеленый;hatchback;2;235;Benzin;45;9;b;4;2;Климат 2-зонный;Кожа-спорт;Люк;2;2;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Есть;Есть;11.07.2026;24;300;21;2;62;AUT 0000-54955;Нет;https://partner.localrent.com/cars/64439/edit/;Нет;https://web.rentprog.ru/cars/49693;https://geodrive.info/geotbilisi/tproduct/910228603892;https://en.geodrive.info/geotbilisi/tproduct/591291994132;WMWXM9C51GT997949;;AJA4045220;Механика;Передний;
Mercedes GLE 350 OB700OB;Mercedes;GLE 350;OB700OB;2019;Белый;crossover;2;258;Benzin;85;10,7;b;5;4;Климат 2-зонный;Кожа;Люк;4;6;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Нет;Есть;22.08.2026;45;300;21;2;261,3;AUT 0000-58311;Нет;https://partner.localrent.com/cars/66422/edit/;Нет;https://web.rentprog.ru/cars/51321;https://geodrive.info/geotbilisi/tproduct/524382402882;https://en.geodrive.info/geotbilisi/tproduct/764539705612;4JGFB4KEXLA036373;Касумов Дурсун;AJA3605036;Автомат;Полный;
Buick Encore NB669NN;Buick;Encore;NB669NN;2018;Серый;crossover;1,4;153;Benzin;53;8;b;5;4;Кондиционер;Ткань;Обычная;4;4;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Есть;Есть;26.03.2026;19;100;22;2;52,5;AUT 0000-55807;https://partner.localrent.com/cars/96120/edit/;https://partner.localrent.com/cars/89752/edit/;https://partner.localrent.com/cars/67522/edit/;https://web.rentprog.ru/cars/52032;https://geodrive.info/geotbilisi/tproduct/919237913552;https://en.geodrive.info/geotbilisi/tproduct/555353372652;KL4CJ2SB0JB506223;;BVA0877024;Автомат;Полный;
Ford Fusion KK992RK;Ford;Fusion;KK992RK;2017;Черный;sedan;2,7;325;Benzin;66;12;b;5;4;Климат 2-зонный;Кожа-спорт;Люк;4;6;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Есть;Есть;11.10.2026;5;100;18;2;55;AUT 0000-55808;Нет;https://partner.localrent.com/cars/88636/edit/;https://partner.localrent.com/cars/77139/edit/;https://web.rentprog.ru/cars/52138;https://geodrive.info/geotbilisi/tproduct/945293907812;https://en.geodrive.info/geotbilisi/tproduct/484103664332;3FA6P0VP4JR157159;Квачантридзе Апполон;AJA4433250;Автомат;Передний;
Mini Cooper AA916BA;Mini;Cooper;AA916BA;2015;Черный;hatchback;1,5;135;Benzin;40;6;b;4;2;Климат 2-зонный;Кожа;Обычная;2;2;left_wheel;Есть;Нет;Нет;Есть;Нет;Есть;Есть;Есть;Есть;14.06.2026;12;100;21;2;34,4;AUT 0000-55348;Нет;https://partner.localrent.com/cars/66263/edit/;https://partner.localrent.com/cars/66286/edit/;https://web.rentprog.ru/cars/51098;https://geodrive.info/geotbilisi/tproduct/912991578142;https://en.geodrive.info/geotbilisi/tproduct/171343515772;WMWXP5C57G3B14570;;AJA4258860;Автомат;Передний;
Chevrolet Trax VF986VF;Chevrolet;Trax;VF986VF;2017;Серебряный;crossover;1,4;153;Benzin;53;8,4;b;5;4;Кондиционер;Ткань;Обычная;4;4;left_wheel;Нет;Есть;Нет;Есть;Нет;Есть;Есть;Есть;Есть;21.03.2027;12;100;22;2;52,5;AUT 0000-55806;Нет;https://partner.localrent.com/cars/67537/edit/;https://partner.localrent.com/cars/78729/edit/;https://web.rentprog.ru/cars/51908;https://geodrive.info/geotbilisi/tproduct/570597516512;https://en.geodrive.info/geotbilisi/tproduct/836328046292;KL7CJNSB8JB606574;;AJA4415381;Автомат;Полный;
Buick Encore UN522UN;Buick;Encore;UN522UN;2018;Синий;crossover;1,4;153;Benzin;53;8,4;b;5;4;Кондиционер;Ткань;Обычная;4;4;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Есть;Есть;21.01.2027;5;100;18;2;44,7;AUT 0000-57481;Нет;https://partner.localrent.com/cars/70116/edit/;https://partner.localrent.com/cars/93111/edit/;https://web.rentprog.ru/cars/53960;https://geodrive.info/geotbilisi/tproduct/628075982052;https://en.geodrive.info/geotbilisi/tproduct/964318329412;KL4CJASBXJB693710;Дидонов 2;AJA4724898;Автомат;Передний;
Toyota Rav 4 RE177NT;Toyota;Rav 4;RE177NT;2017;Черный;crossover;2,5;180;Benzin;60;8;b;5;4;Кондиционер;Ткань;Обычная;4;4;left_wheel;Есть;Нет;Есть;Есть;Есть;Есть;Есть;Есть;Есть;22.07.2026;5;100;21;2;75,6;AUT 0000-56687;Нет;https://partner.localrent.com/cars/70686/edit/;https://partner.localrent.com/cars/91238/edit/;https://web.rentprog.ru/cars/54063;https://geodrive.info/geotbilisi/tproduct/470665580492;https://en.geodrive.info/geotbilisi/tproduct/935031177542;2T3BFREV5HW599971;Bortsvadze;AJA3116526;Автомат;Полный;
Skoda Kodiaq TT780TR;Skoda;Kodiaq;TT780TR;2019;Серый;crossover;1,7;150;Benzin;65;8;b;5;4;Кондиционер;Ткань;Обычная;4;4;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;25.10.2026;5;100;21;2;113,4;AUT 0000-46573;Нет;https://partner.localrent.com/cars/71376/edit/;Нет;https://web.rentprog.ru/cars/54504;https://geodrive.info/geotbilisi/tproduct/801047064382;https://en.geodrive.info/geotbilisi/tproduct/903713780162;XW8LD6NS1LH401873;Хаустов Александр;AJ3040658;Автомат;Передний;
Kia Soul MV640MM;Kia;Soul;MV640MM;2015;Голубой;hatchback;2;150;Benzin;55;7;b;5;4;Кондиционер;Ткань;Обычная;4;3;left_wheel;Есть;Нет;Нет;Есть;Нет;Есть;Есть;Есть;Есть;20.11.2025;5;100;18;2;43,3;AUT 0000-55728;Нет;https://partner.localrent.com/cars/71375/edit/;https://partner.localrent.com/cars/72111/edit/;https://web.rentprog.ru/cars/54527;https://geodrive.info/geotbilisi/tproduct/686518267872;https://en.geodrive.info/geotbilisi/tproduct/679515125622;KNDJP3A56G7299622;Дидонов 2;AJA4797778;Автомат;Передний;
Hyundai Elantra  BE023ES;Hyundai Elantra;;BE023ES;2020;Black;;;;;;;;;;;;Обычная;;;;;;;;;;;;;26.07.2026;5;100;18;2;0;;Нет;Нет;Нет;https://web.rentprog.ru/cars/54097;https://geodrive.info/geotbilisi/tproduct/913799781092;https://en.geodrive.info/geotbilisi/tproduct/941372607262;KMHD84LF1LU038640;Bortsvadze;AJA4234835;Автомат;Передний;
Toyota Rav 4 BE022ES;Toyota;Rav 4;BE022ES;2018;Голубой;crossover;2,5;180;Benzin;60;7,9;b;5;4;Кондиционер;Ткань;Обычная;4;4;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Есть;Есть;24.07.2026;11;100;21;2;75,6;AUT 0000-56686;https://partner.localrent.com/cars/91243/edit/;https://partner.localrent.com/cars/93115/edit/;https://partner.localrent.com/cars/70111/edit/;https://web.rentprog.ru/cars/54062;https://geodrive.info/geotbilisi/tproduct/411625219692;https://en.geodrive.info/geotbilisi/tproduct/432916539582;JTMBFREV3JJ256564;Bortsvadze;AJA4176265;Автомат;Передний;
Toyota Rav 4 BE021ES;Toyota;Rav 4;BE021ES;2016;Серебряный;crossover;2,5;180;Benzin;60;8;b;5;4;Кондиционер;Ткань;Обычная;4;4;left_wheel;Есть;Есть;Нет;Есть;Есть;Есть;Есть;Есть;Есть;26.09.2026;5;100;21;2;68,75;AUT 0000-57484;Нет;https://partner.localrent.com/cars/70114/edit/;https://partner.localrent.com/cars/70113/edit/;https://web.rentprog.ru/cars/54061;https://geodrive.info/geotbilisi/tproduct/447179521672;https://en.geodrive.info/geotbilisi/tproduct/304004901592;2T3BFREVXGW534659;Bortsvadze;AJA4173264;Автомат;Передний;
Hyundai Tucson PJ756PJ;Hyundai;Tucson;PJ756PJ;2019;Серебряный;crossover;2,4;184;Benzin;62;8;b;5;4;Климат 2-зонный;Ткань;Обычная;4;4;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Нет;Есть;13.11.2026;5;100;18;2;62;AUT 0000-58078;https://partner.localrent.com/cars/78740/edit/;https://partner.localrent.com/cars/72110/edit/;Нет;https://web.rentprog.ru/cars/54612;https://geodrive.info/geotbilisi/tproduct/936568937472;https://en.geodrive.info/geotbilisi/tproduct/107232609032;KM8J3CAL5KU057937;Bortsvadze;AQA0322749;Автомат;Передний;
Jeep Wrangler FK093FF;Jeep;Wrangler;FK093FF;2016;Черный;crossover;3,6;284;Benzin;65;12;b;5;4;Кондиционер;Ткань;Обычная;4;4;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Нет;Есть;17.09.2026;5;200;18;2;137,5;AUT 0000-51702;https://partner.localrent.com/cars/91244/edit/;https://partner.localrent.com/cars/89753/edit/;Нет;https://web.rentprog.ru/cars/54124;https://geodrive.info/geotbilisi/tproduct/264757586642;https://en.geodrive.info/geotbilisi/tproduct/526772515712;1C4BJWFG5HL564783;Веслогузов Сергей;Aja4765195;Автомат;Полный;
Kia Sportage RR942LR;Kia;Sportage;RR942LR;2018;Серебряный;crossover;2,4;184;Benzin;62;7,9;b;5;4;Кондиционер;Ткань;Обычная;4;4;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Есть;Есть;27.10.2026;5;100;18;2;62,5;AUT 0000-46949;Нет;https://partner.localrent.com/cars/73042/edit/;Нет;https://web.rentprog.ru/cars/54914;https://geodrive.info/geotbilisi/tproduct/459358824062;https://en.geodrive.info/geotbilisi/tproduct/966601970732;KNDPM3AC4J7455035;Павел Чупахов;AJA4920587;Автомат;Передний;
Porsche Macan S FK288FF;Porsche;Macan S;FK288FF;2015;Синий;crossover;3;333;Benzin;60;9;b;5;4;Климат 2-зонный;Кожа-спорт;Люк;4;4;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;24.10.2026;5;300;21;2;41,25;AUT 0000-57893;Нет;https://partner.localrent.com/cars/72024/edit/;Нет;https://web.rentprog.ru/cars/54123;https://geodrive.info/geotbilisi/tproduct/332294180142;https://en.geodrive.info/geotbilisi/tproduct/204918419192;WP1AB2A54GLB49507;;AJA4768158;Автомат;Полный;
Hyundai Santa Fe MM438JM;Hyundai;Santa Fe;MM438JM;2021;Черный;crossover;2,5;194;Benzin;67;8,7;b;5;4;Климат 2-зонный;Кожа;Люк;4;4;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Нет;Есть;24.07.2026;5;100;18;2;106,6;AUT 0000-58366;Нет;https://partner.localrent.com/cars/73043/edit/;Нет;https://web.rentprog.ru/cars/55207;https://geodrive.info/geotbilisi/tproduct/919262655162;https://en.geodrive.info/geotbilisi/tproduct/206868868692;5NMS5DAL4MH352532;Касумов Дурсун;AJA6948648;Автомат;Полный;
Mini Cooper Countryman S HT360HH;Mini;Cooper Countryman S;HT360HH;2017;Оранжевый;crossover;2;192;Benzin;55;7,9;b;5;4;Климат 2-зонный;Кожа;Люк;4;4;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Нет;29.08.2027;5;100;21;2;78,4;AUT 0000-47911;https://partner.localrent.com/cars/91246/edit/;https://partner.localrent.com/cars/74535/edit/;https://partner.localrent.com/cars/78504/edit/;https://web.rentprog.ru/cars/55783;https://geodrive.info/geotbilisi/tproduct/384234979902;https://en.geodrive.info/geotbilisi/tproduct/504137261072;WMZYT5C37H3D78892;;AJA5054542;Автомат;Передний;
Kia Sportage DF368DD;Kia;Sportage;DF368DD;2016;Белый;crossover;2,4;184;Benzin;60;7,9;b;5;4;Кондиционер;Ткань;Обычная;4;4;left_wheel;Есть;Есть;Нет;Есть;Нет;Нет;Есть;Есть;Есть;14.12.2026;5;100;18;2;60,5;AUT 0000-47822;Нет;https://partner.localrent.com/cars/74534/edit/;https://partner.localrent.com/cars/91170/edit/;https://web.rentprog.ru/cars/55869;https://geodrive.info/geotbilisi/tproduct/244136387272;https://en.geodrive.info/geotbilisi/tproduct/819895704332;KNDPMCAC4H7184567;Никишова Мария;AJA5081825;Автомат;Полный;
